province_code,province,year,temp,prec,sun,sw_actual,sw_clear,days
120000,天津市,2021,12.073479452054794,1148.51,3434.757562533018,14.03068493150685,17.89191780821918,365
120000,天津市,2022,11.452602739726027,882.2,3625.3938500516183,15.090931506849314,18.23202739726027,365
120000,天津市,2023,12.73586301369863,686.27,3613.8551451076205,15.026602739726027,18.212273972602738,365
130000,河北省,2011,10.967013698630137,540.17,3564.6168209137772,14.019287671232876,17.226109589041094,365
130000,河北省,2012,10.606584699453553,584.95,3565.3943693257274,14.117923497267759,17.343524590163934,366
130000,河北省,2013,11.226410958904111,585.02,3502.630825562784,13.989534246575344,17.493753424657534,365
130000,河北省,2014,12.396493150684933,459.5,3526.5357253178095,13.925150684931507,17.295205479452054,365
130000,河北省,2015,11.970054794520546,529.46,3478.5179205229138,13.934328767123286,17.545506849315068,365
130000,河北省,2016,11.831256830601092,626.3100000000001,3520.5864174451026,14.390573770491804,17.90346994535519,366
130000,河北省,2017,12.293945205479451,558.11,3559.279693323653,14.658657534246576,18.038739726027398,365
130000,河北省,2018,11.924739726027397,544.34,3507.9285373785096,14.45331506849315,18.046410958904108,365
130000,河北省,2019,12.702821917808219,497.36,3602.3379676394425,14.722739726027397,17.90104109589041,365
130000,河北省,2020,11.842868852459016,709.0600000000001,3529.879736809856,14.554071038251365,18.059207650273223,366
130000,河北省,2021,11.735342465753424,847.37,3380.4110083361884,13.887342465753425,17.993835616438357,365
130000,河北省,2022,11.53249315068493,707.44,3556.8180583862754,14.91131506849315,18.362356164383563,365
130000,河北省,2023,12.519890410958904,809.55,3517.2822982442317,14.797424657534247,18.426931506849314,365
140000,山西省,2011,9.17504109589041,559.98,3451.0507371680224,14.543479452054795,18.45827397260274,365
140000,山西省,2012,9.01172131147541,523.48,3505.106714004129,14.953005464480874,18.685355191256832,366
140000,山西省,2013,10.491753424657535,585.4,3578.101174146187,15.451479452054794,18.914356164383562,365
140000,山西省,2014,10.336739726027396,485.31,3497.438293642358,14.921287671232879,18.686602739726027,365
140000,山西省,2015,10.801561643835617,424.53,3480.0421999428086,15.072520547945206,18.970356164383563,365
140000,山西省,2016,10.593169398907104,613.31,3423.966373904974,15.096994535519126,19.312349726775956,366
140000,山西省,2017,10.93531506849315,570.46,3504.099594217708,15.615808219178083,19.519205479452054,365
140000,山西省,2018,10.676575342465753,434.5,3462.890316902401,15.357150684931506,19.42432876712329,365
140000,山西省,2019,11.200328767123287,402.28,3532.536865854262,15.621095890410958,19.3686301369863,365
140000,山西省,2020,10.38516393442623,728.59,3485.6646067910224,15.562704918032786,19.555710382513663,366
140000,山西省,2021,10.599698630136986,662.35,3424.6856490660653,15.352904109589042,19.63558904109589,365
140000,山西省,2022,10.619232876712328,597.55,3498.732606878108,15.679342465753425,19.62868493150685,365
140000,山西省,2023,11.018438356164383,499.89,3506.749102911942,15.78945205479452,19.721342465753423,365
150000,内蒙古自治区,2011,1.5366575342465754,331.93,3591.06210923371,15.649726027397259,19.087890410958902,365
150000,内蒙古自治区,2012,0.6392622950819673,490.0,3527.2896622075905,15.185027322404371,18.855956284153006,366
150000,内蒙古自治区,2013,1.421150684931507,367.24,3544.2497290513943,15.546191780821918,19.212054794520547,365
150000,内蒙古自治区,2014,2.8966575342465752,361.38,3505.324561467277,15.080876712328768,18.843972602739726,365
150000,内蒙古自治区,2015,2.667068493150685,349.06,3483.8532513117943,15.179397260273971,19.083972602739724,365
150000,内蒙古自治区,2016,2.1848087431693988,318.08,3601.7009110499475,15.795355191256832,19.20860655737705,366
150000,内蒙古自治区,2017,2.8192876712328765,278.81,3678.0915671233565,16.276849315068493,19.383041095890412,365
150000,内蒙古自治区,2018,2.4656164383561645,463.0,3546.9055434740926,15.619452054794522,19.28813698630137,365
150000,内蒙古自治区,2019,3.0658356164383562,352.71,3604.166024381662,15.824356164383563,19.230712328767122,365
150000,内蒙古自治区,2020,2.44724043715847,451.69,3495.7010975044223,15.235437158469946,19.08950819672131,366
150000,内蒙古自治区,2021,2.4738630136986304,477.21999999999997,3485.992225397323,15.162027397260275,19.050438356164385,365
150000,内蒙古自治区,2022,2.053835616438356,374.99,3553.630979809875,15.629041095890411,19.26345205479452,365
150000,内蒙古自治区,2023,2.935780821917808,360.41,3581.045700895202,15.523643835616438,18.987068493150684,365
210000,辽宁省,2011,8.164,673.41,3537.5015322392474,14.224575342465753,17.612328767123287,365
210000,辽宁省,2012,7.767021857923497,941.77,3483.0900107398124,14.080628415300547,17.706448087431696,366
210000,辽宁省,2013,8.509342465753424,696.98,3488.066942827299,14.057671232876713,17.652356164383562,365
210000,辽宁省,2014,10.233808219178083,417.7,3614.0671419706973,14.281205479452055,17.307835616438354,365
210000,辽宁省,2015,9.669178082191781,584.41,3589.2377757889412,14.424191780821918,17.602054794520548,365
210000,辽宁省,2016,9.445,648.9399999999999,3565.860773648777,14.620300546448087,17.958333333333332,366
210000,辽宁省,2017,10.15517808219178,522.49,3667.848305565001,15.181753424657535,18.12945205479452,365
210000,辽宁省,2018,9.623013698630137,600.11,3538.1182640499956,14.643232876712329,18.127534246575344,365
210000,辽宁省,2019,9.993561643835617,712.74,3610.0764261449626,15.00967123287671,18.210794520547942,365
210000,辽宁省,2020,9.36622950819672,829.9300000000001,3523.7164823027156,14.607131147540983,18.156748633879783,366
210000,辽宁省,2021,9.378246575342466,955.9399999999999,3385.0383700599405,13.91435616438356,18.004191780821916,365
210000,辽宁省,2022,8.675808219178082,945.38,3552.049845283936,14.805917808219178,18.25704109589041,365
210000,辽宁省,2023,9.926821917808219,730.89,3631.8496432851316,15.032931506849316,18.129671232876714,365
220000,吉林省,2011,3.317561643835617,509.83,3455.1226260732087,14.106547945205481,17.8826301369863,365
220000,吉林省,2012,3.0321311475409836,861.98,3297.6298969640197,13.440081967213114,17.851475409836066,366
220000,吉林省,2013,3.0119999999999996,906.35,3331.6513895794506,13.663917808219178,17.96345205479452,365
220000,吉林省,2014,4.498493150684932,609.28,3457.7905924328093,14.027616438356164,17.768849315068493,365
220000,吉林省,2015,4.660301369863014,642.25,3368.1642607928547,13.803890410958905,17.950739726027397,365
220000,吉林省,2016,3.9329234972677596,845.23,3326.974986052412,13.57775956284153,17.875273224043717,366
220000,吉林省,2017,4.285287671232877,748.0,3445.4209446822097,14.311287671232876,18.1932602739726,365
220000,吉林省,2018,4.427287671232877,934.04,3279.1730664570355,13.567945205479452,18.122739726027397,365
220000,吉林省,2019,5.124767123287671,886.34,3358.2679715871873,13.917013698630138,18.15117808219178,365
220000,吉林省,2020,4.4025956284153,990.25,3238.9262150470076,13.375956284153007,18.08830601092896,366
220000,吉林省,2021,4.934383561643836,751.33,3242.987445063596,13.334465753424658,18.009616438356165,365
220000,吉林省,2022,4.313671232876712,997.37,3288.508798919365,13.705205479452054,18.254109589041096,365
220000,吉林省,2023,5.000301369863013,923.84,3326.908714419482,13.667753424657533,17.9941095890411,365
230000,黑龙江省,2011,-0.164986301369863,566.44,3471.9355422890544,13.910849315068493,17.549150684931504,365
230000,黑龙江省,2012,-0.6483060109289618,740.16,3338.3331195088685,13.147732240437158,17.250245901639346,366
230000,黑龙江省,2013,-0.9060821917808219,811.28,3339.2930110875795,13.413150684931507,17.593424657534246,365
230000,黑龙江省,2014,-0.42553424657534245,675.9300000000001,3445.327498858575,13.73564383561644,17.461945205479452,365
230000,黑龙江省,2015,0.6828493150684931,648.51,3344.6343591941168,13.376821917808218,17.517753424657535,365
230000,黑龙江省,2016,-0.4945628415300547,638.25,3340.677850690024,13.404535519125684,17.57483606557377,366
230000,黑龙江省,2017,0.27230136986301373,633.06,3418.897827998034,13.793232876712327,17.670712328767124,365
230000,黑龙江省,2018,0.30953424657534245,804.0,3456.989900737441,13.998657534246576,17.73627397260274,365
230000,黑龙江省,2019,0.6145479452054795,901.37,3260.176679393349,12.920328767123287,17.358273972602742,365
230000,黑龙江省,2020,0.8672404371584699,901.6,3319.414227244694,13.295464480874317,17.543497267759562,366
230000,黑龙江省,2021,0.3572876712328767,828.97,3255.029677630574,12.935561643835616,17.406219178082193,365
230000,黑龙江省,2022,0.03367123287671231,729.87,3427.2061694469885,13.901890410958902,17.766739726027396,365
230000,黑龙江省,2023,0.1559452054794521,741.57,3376.8586745036355,13.483397260273971,17.48882191780822,365
310000,上海市,2011,16.36778082191781,1011.72,2984.344837009898,13.114876712328767,19.248164383561644,365
310000,上海市,2012,16.256475409836064,1291.75,2987.3568474040953,13.204781420765027,19.360573770491804,366
310000,上海市,2013,17.02816438356164,1074.33,3163.5506100678253,14.205424657534245,19.667698630136986,365
310000,上海市,2014,16.559835616438356,1314.09,2943.2149508448365,13.048602739726027,19.418520547945207,365
310000,上海市,2015,16.60131506849315,1671.35,2888.1767030725428,12.75317808219178,19.34054794520548,365
310000,上海市,2016,17.18341530054645,1697.99,2900.3927393478516,12.923852459016393,19.516830601092895,366
310000,上海市,2017,17.189013698630138,1371.1200000000001,3046.58239076784,13.706,19.704794520547946,365
310000,上海市,2018,17.364520547945204,1435.81,3053.403861876725,13.922849315068493,19.97183561643836,365
310000,上海市,2019,17.14621917808219,1563.86,2940.4271906842946,13.324602739726027,19.848054794520547,365
310000,上海市,2020,17.32674863387978,1763.99,2966.51310574965,13.33122950819672,19.683306010928963,366
310000,上海市,2021,17.76282191780822,1687.3899999999999,3029.4985040370507,13.870657534246575,20.053972602739726,365
310000,上海市,2022,17.91158904109589,1211.34,3133.7606832925762,14.316191780821917,20.009479452054794,365
310000,上海市,2023,17.809671232876713,1322.57,3036.4741501740727,13.895397260273972,20.04358904109589,365
320000,江苏省,2011,14.867671232876711,1043.67,3023.102083180661,12.643835616438356,18.318931506849314,365
320000,江苏省,2012,15.037213114754097,840.27,3057.5462476739335,12.89396174863388,18.47087431693989,366
320000,江苏省,2013,15.597095890410959,767.33,3212.31689771003,13.81191780821918,18.832575342465756,365
320000,江苏省,2014,15.295972602739726,1048.43,3005.161780859131,12.732246575342467,18.557150684931507,365
320000,江苏省,2015,15.084109589041095,1415.28,2970.9035618018816,12.692301369863012,18.712246575342466,365
320000,江苏省,2016,15.452213114754098,1551.85,2965.922053521335,12.76191256830601,18.846475409836067,366
320000,江苏省,2017,15.662849315068492,1027.12,3145.6934901075942,13.67378082191781,19.03909589041096,365
320000,江苏省,2018,15.875260273972604,1175.06,3132.3433338690425,13.654328767123287,19.09304109589041,365
320000,江苏省,2019,16.151342465753423,758.75,3076.279461159406,13.491506849315067,19.20917808219178,365
320000,江苏省,2020,15.911147540983606,1387.38,3019.263718961707,13.038688524590164,18.91502732240437,366
320000,江苏省,2021,16.36805479452055,1386.44,3124.450593659403,13.772383561643835,19.30676712328767,365
320000,江苏省,2022,16.41931506849315,931.27,3273.415066067294,14.429808219178083,19.307835616438354,365
320000,江苏省,2023,16.087890410958902,1261.15,3151.7088618346543,13.926109589041095,19.353424657534248,365
330000,浙江省,2011,15.680575342465753,1235.52,2907.1435511810687,12.838438356164383,19.34282191780822,365
